phrase;adjective;nonun;note_to_phrase;adjective_definition;noun_definition
insignificant blot;insignificant;blot;;;
insincere profession;insincere;profession;;;
insinuatingly pursued;insinuatingly;pursued;;;
insipid tameness;insipid;tameness;;;
insistent babel;insistent;babel;;;
insolent placidity;insolent;placidity;;;
insoluble riddles;insoluble;riddles;;;
inspiring achievement;inspiring;achievement;;;
inspiriting spectacle;inspiriting;spectacle;;;
instant readiness;instant;readiness;;;
instantaneous cessations;instantaneous;cessations;;;
instinctive disapproval;instinctive;disapproval;;;
insufferably dull;insufferably;dull;;;
insufficient appeal;insufficient;appeal;;;
insular strength;insular;strength;;;
insulting invectives;insulting;invectives;;invective = abusive language;
insuperable difficulty;insuperable;difficulty;;;
insurmountable obstacles;insurmountable;obstacles;;;
intangible something;intangible;something;;;
integral element;integral;element;;;
intellectual integrity;intellectual;integrity;;;
intelligent adaptation;intelligent;adaptation;;;
intemperate scorn;intemperate;scorn;;;
intense perplexity;intense;perplexity;;;
intensive cultivation;intensive;cultivation;;;
intentional garbling;intentional;garbling;;;
interior spirit;interior;spirit;;;
interlocking directorate;interlocking;directorate;;;
intermediate link;intermediate;link;;;
interminable question;interminable;question;;;
intermingled gloom;intermingled;gloom;;;
intermittent threats;intermittent;threats;;;
internal dissension;internal;dissension;;;
interpolated speech;interpolated;speech;;;
interpretative criticism;interpretative;criticism;;;
interwoven thread;interwoven;thread;;;
intimately allied;intimately;allied;;;
intolerably tedious;intolerably;tedious;;;
intoxicating hum;intoxicating;hum;;;
intractable temper;intractable;temper;;;
intrenched privilege;intrenched;privilege;;;
intrepid dexterity;intrepid;dexterity;;;
intricate interlacings;intricate;interlacings;;;
intriguing braggart;intriguing;braggart;;;
intrinsic fecundity;intrinsic;fecundity;;;productive or creative power
intrusive brightness;intrusive;brightness;;;
intuitive perception;intuitive;perception;;;
invaluable composition;invaluable;composition;;;
invariable kindness;invariable;kindness;;;
inveighing incessantly;inveighing;incessantly;;angry disapproval;
inventive jealousy;inventive;jealousy;;;
inveterate antipathy;inveterate;antipathy;;;
invidious mention;invidious;mention;;rousing ill will or resentment;
invigorating discipline;invigorating;discipline;;;
invincible optimism;invincible;optimism;;;
inviolable confidence;inviolable;confidence;;;
involuntary yearnings;involuntary;yearnings;;;
involuted sentences;involuted;sentences;;"intricate; complex";
involved pomposity;involved;pomposity;;;
invulnerable solemnity;invulnerable;solemnity;;;
inward disinclination;inward;disinclination;;;
irascible doggedness;irascible;doggedness;;;
irate remonstrance;irate;remonstrance;;;
iridescent sheen;iridescent;sheen;;;
irksome task;irksome;task;;;
iron resolution;iron;resolution;;;
ironic iciness;ironic;iciness;;;
irradiating spirit;irradiating;spirit;;;
irrational awe;irrational;awe;;;
irreclaimable dead;irreclaimable;dead;;;
irreconcilable parting;irreconcilable;parting;;;
irrecoverably lost;irrecoverably;lost;;;
irrefragable laws;irrefragable;laws;;indisputable;
irrefutable argument;irrefutable;argument;;;
irregular constellations;irregular;constellations;;;
irrelevant suggestion;irrelevant;suggestion;;;
irremediable sorrow;irremediable;sorrow;;;
irreparable injury;irreparable;injury;;;
irrepressible excitement;irrepressible;excitement;;;
irreproachable exterior;irreproachable;exterior;;;
irresistible will;irresistible;will;;;
irresponsible gossip;irresponsible;gossip;;;
irretrievable blunder;irretrievable;blunder;;;
irreverent audacity;irreverent;audacity;;;
irreversible facts;irreversible;facts;;;
irrevocable verdict;irrevocable;verdict;;;
irritable impatience;irritable;impatience;;;
isolated splendor;isolated;splendor;;;
jaded sensibility;jaded;sensibility;;;
jagged outline;jagged;outline;;;
jarring discord;jarring;discord;;;
jaundiced opinion;jaundiced;opinion;;;
jaunty confidence;jaunty;confidence;;;
jealous animosity;jealous;animosity;;;
jesting allusion;jesting;allusion;;;
jingling alliteration;jingling;alliteration;;;
jocular mirth;jocular;mirth;;;
jocund host;jocund;host;;"sprightly; lighthearted";
jostling confusion;jostling;confusion;;;
jovial fancy;jovial;fancy;;;
joyful alacrity;joyful;alacrity;;;
joyous stagnation;joyous;stagnation;;;
jubilant antagonist;jubilant;antagonist;;;
judicial impartiality;judicial;impartiality;;;
judicious candor;judicious;candor;;;
just rebuke;just;rebuke;;;
juvenile attempt;juvenile;attempt;;;
kaleidoscopic pictures;kaleidoscopic;pictures;;;
keen insight;keen;insight;;;
kindled enthusiasm;kindled;enthusiasm;;;
kindly innocence;kindly;innocence;;;
kindred sympathies;kindred;sympathies;;;
kingly generosity;kingly;generosity;;;
knavish conduct;knavish;conduct;;;
knightly achievement;knightly;achievement;;;
known disingenuousness;known;disingenuousness;;"ingenuous = frank; candid.";
labored levity;labored;levity;;;
labyrinthian windings;labyrinthian;windings;;;
lacerated feelings;lacerated;feelings;;;
lachrymose monotony;lachrymose;monotony;;;
lackadaisical manner;lackadaisical;manner;;;
laconic force;laconic;force;;;
lagging footsteps;lagging;footsteps;;;
lamentable helplessness;lamentable;helplessness;;;
languid impertinence;languid;impertinence;;;
large receptivity;large;receptivity;;;
lashing scorn;lashing;scorn;;;
latent conviction;latent;conviction;;;
laudable zeal;laudable;zeal;;;
laughable absurdity;laughable;absurdity;;;
lavish liberality;lavish;liberality;;;
lawless freedom;lawless;freedom;;;
lazy acquiescence;lazy;acquiescence;;;
leaden steps;leaden;steps;;;
leaping ambition;leaping;ambition;;;
learned gravity;learned;gravity;;;
leering smile;leering;smile;;;
legal perspicacity;legal;perspicacity;;;perceptive, discerning
legendary associations;legendary;associations;;;
legislative enactment;legislative;enactment;;;
legitimate inference;legitimate;inference;;;
leisurely composure;leisurely;composure;;;
lengthening shadows;lengthening;shadows;;;
leonine powers;leonine;powers;;;
lethargic temperament;lethargic;temperament;;;
lettered coxcomb;lettered;coxcomb;;;"conceited dandy;  jester's cap"
liberal contemplations;liberal;contemplations;;;
lifeless imbecility;lifeless;imbecility;;;
lifelong adherence;lifelong;adherence;;;
lightless eyes;lightless;eyes;;;
lightly disregard;lightly;disregard;;;
lightning glare;lightning;glare;;;
limpid twilight;limpid;twilight;;;
lingering tenderness;lingering;tenderness;;;
linguistic attainments;linguistic;attainments;;;
liquid eloquence;liquid;eloquence;;;
lisping utterance;lisping;utterance;;;
listening reverence;listening;reverence;;;
listless apathy;listless;apathy;;;
literal exactness;literal;exactness;;;
literary research;literary;research;;;
lithe contortions;lithe;contortions;;;
little idiosyncrasies;little;idiosyncrasies;;;
lively susceptibility;lively;susceptibility;;;
livid lightning;livid;lightning;;;
living manifestation;living;manifestation;;;
loathsome oppression;loathsome;oppression;;;
local busybody;local;busybody;;;
loftiest aspirations;loftiest;aspirations;;;
logical precision;logical;precision;;;
lone magnificence;lone;magnificence;;;
longing fancy;longing;fancy;;;
looming probabilities;looming;probabilities;;;
loquacious assurances;loquacious;assurances;;very talkative;
lordly abhorrence;lordly;abhorrence;;;
loud vociferation;loud;vociferation;;;cry out loudly, especially in protest
lounging gait;lounging;gait;;;
loutish rudeness;loutish;rudeness;;;
lovingly quizzical;lovingly;quizzical;;;
lowering aspects;lowering;aspects;;;
lowest degradation;lowest;degradation;;;
loyal adhesion;loyal;adhesion;;;
lucid treatment;lucid;treatment;;;
lucrative profession;lucrative;profession;;;
ludicrous incongruity;ludicrous;incongruity;;;
lugubrious question;lugubrious;question;;mournful, dismal, gloomy;
lukewarm repentance;lukewarm;repentance;;;
lumbering gaiety;lumbering;gaiety;;;
luminous interpretation;luminous;interpretation;;;
lurid picturesqueness;lurid;picturesqueness;;;
lurking suspicion;lurking;suspicion;;;
lustrous surface;lustrous;surface;;;
luxuriant richness;luxuriant;richness;;;
lying equivocations;lying;equivocations;;;
maddening monotony;maddening;monotony;;;
magic fascination;magic;fascination;;;
magisterial emphasis;magisterial;emphasis;;;
magnanimous concessions;magnanimous;concessions;;;
magnetic fascination;magnetic;fascination;;;
magnificent florescence;magnificent;florescence;;;
magniloquent diction;magniloquent;diction;;extravagant in speech;
maidenly timidity;maidenly;timidity;;;
main ramifications;main;ramifications;;;
majestic dignity;majestic;dignity;;;
maladjusted marriages;maladjusted;marriages;;;
malevolent ingenuity;malevolent;ingenuity;;;
malicious aspersions;malicious;aspersions;;;
malign influence;malign;influence;;;
malodorous gentility;malodorous;gentility;;;
manageable proportions;manageable;proportions;;;
mangled arguments;mangled;arguments;;;
manifest reluctance;manifest;reluctance;;;
manifold functions;manifold;functions;;;
manly reticence;manly;reticence;;;
mantling smile;mantling;smile;;"cover with a mantle; concealing";
manual dexterity;manual;dexterity;;;
manufactured melancholy;manufactured;melancholy;;;
marked individuality;marked;individuality;;;
marketable commodity;marketable;commodity;;;
marshaled hosts;marshaled;hosts;;;
martial footsteps;martial;footsteps;;;
marvelous lucidity;marvelous;lucidity;;;
masculine power;masculine;power;;;
masked expression;masked;expression;;;
massive strength;massive;strength;;;
master achievement;master;achievement;;;
matchless charm;matchless;charm;;;
material misconception;material;misconception;;;
maternal solicitude;maternal;solicitude;;;
mathematical precision;mathematical;precision;;;
matrimonial alliance;matrimonial;alliance;;;
matured reflection;matured;reflection;;;
maudlin sentimentalism;maudlin;sentimentalism;;tearfully sentimental;
mawkish insipidity;mawkish;insipidity;;;
maximum intensity;maximum;intensity;;;
meager evidence;meager;evidence;;;
mean trickeries;mean;trickeries;;;
meaningless confusion;meaningless;confusion;;;
measured cadence;measured;cadence;;;
mechanical handicraft;mechanical;handicraft;;;
meditatively silent;meditatively;silent;;;
meek ambition;meek;ambition;;;
melancholy musing;melancholy;musing;;;
mellifluous eloquence;mellifluous;eloquence;;flowing with sweetness or honey;
mellow refinement;mellow;refinement;;;
melodious platitudes;melodious;platitudes;;;
melodramatic resource;melodramatic;resource;;;
melting mood;melting;mood;;;
memorable experience;memorable;experience;;;
menacing attitude;menacing;attitude;;;
mendacious tongue;mendacious;tongue;;"false; untrue";
mendicant pilgrim;mendicant;pilgrim;;beggar;
mental metamorphosis;mental;metamorphosis;;;
mercenary view;mercenary;view;;;
merchantable literature;merchantable;literature;;;
merciful insensibility;merciful;insensibility;;;
merciless censor;merciless;censor;;;
mercurial temperament;mercurial;temperament;;;
mere generalization;mere;generalization;;;
meretricious allurements;meretricious;allurements;;plausible but false;
meridian splendor;meridian;splendor;;;
merited ridicule;merited;ridicule;;;
merry jest;merry;jest;;;
metallic immobility;metallic;immobility;;;
metaphysical obscurity;metaphysical;obscurity;;;
meteoric splendors;meteoric;splendors;;;
methodical regularity;methodical;regularity;;;
metrical exactness;metrical;exactness;;;
microscopic minuteness;microscopic;minuteness;;;
mighty animosity;mighty;animosity;;;
mild rejoinder;mild;rejoinder;;;
militant struggles;militant;struggles;;;
military autocracy;military;autocracy;;;
millennial reign;millennial;reign;;;
mimic gestures;mimic;gestures;;;
minatory shadow;minatory;shadow;;menacing or threatening;
mincing precision;mincing;precision;;;
mingled decorousness;mingled;decorousness;;;
miniature imitations;miniature;imitations;;;
minor impulses;minor;impulses;;;
minute consideration;minute;consideration;;;
miraculous profusion;miraculous;profusion;;;
mirroring lake;mirroring;lake;;;
mirthful glance;mirthful;glance;;;
mischievous effusion;mischievous;effusion;;;
miserable musings;miserable;musings;;;
misleading notion;misleading;notion;;;
misshapen oddities;misshapen;oddities;;;
misspent strength;misspent;strength;;;
mistaken assumption;mistaken;assumption;;;
mistrustful superiority;mistrustful;superiority;;;
misty depression;misty;depression;;;
mitigating circumstances;mitigating;circumstances;;;
mobile countenance;mobile;countenance;;;
mock seriousness;mock;seriousness;;;
modest cheerfulness;modest;cheerfulness;;;
modified sentiment;modified;sentiment;;;
moldy doctrines;moldy;doctrines;;;
mollifying conditions;mollifying;conditions;;"calming; soothing";
momentary discomfiture;momentary;discomfiture;;;
momentous pause;momentous;pause;;;
monarchial institutions;monarchial;institutions;;;
monastic austerity;monastic;austerity;;;
monotonous sameness;monotonous;sameness;;;
monstrous absurdity;monstrous;absurdity;;;
monumental structure;monumental;structure;;;
moody silence;moody;silence;;;
moonlight witchery;moonlight;witchery;;;
moral obliquity;moral;obliquity;;;deviation or aberration
morbid imagination;morbid;imagination;;;
mordant wit;mordant;wit;;;
moribund mediocrities;moribund;mediocrities;;;
mortal affront;mortal;affront;;;
mortified coldness;mortified;coldness;;;
motley appearance;motley;appearance;;;
mountainous inequalities;mountainous;inequalities;;;
mournful magnificence;mournful;magnificence;;;
mouthing amplitude;mouthing;amplitude;;;
muddled opinion;muddled;opinion;;;
muddy inefficiency;muddy;inefficiency;;;
muffled detonations;muffled;detonations;;;
mullioned windows;mullioned;windows;;vertical member dividing a window;
multifarious activity;multifarious;activity;;;
multiform truth;multiform;truth;;;
multiple needs;multiple;needs;;;
multitudinous details;multitudinous;details;;;
mundane importance;mundane;importance;;;
mural decorations;mural;decorations;;;
murderous parody;murderous;parody;;;
murky recesses;murky;recesses;;;
musical diapason;musical;diapason;;;full, rich outpouring of harmonious sound
mute insensibility;mute;insensibility;;;
mutinous thoughts;mutinous;thoughts;;;
muttered warning;muttered;warning;;;
mutual animosity;mutual;animosity;;;
myriad lights;myriad;lights;;;
mysterious potency;mysterious;potency;;;
mystic meaning;mystic;meaning;;;
mythical kingdom;mythical;kingdom;;;
naive manner;naive;manner;;;
naked eye;naked;eye;;;
nameless fear;nameless;fear;;;
narcotic effect;narcotic;effect;;;
narrowing axioms;narrowing;axioms;;;
nasal drone;nasal;drone;;;
nascent intercourse;nascent;intercourse;;;
national shortcomings;national;shortcomings;;;
native incompetence;native;incompetence;;;
natural sluggishness;natural;sluggishness;;;
nauseous dose;nauseous;dose;;;
nautical venture;nautical;venture;;;
neat refutation;neat;refutation;;;
nebulous uncertainty;nebulous;uncertainty;;;
necessary adjuncts;necessary;adjuncts;;;
necromantic power;necromantic;power;;"necromancy = communicating with the dead to predict the future. Black magic; sorcery.";
needless depression;needless;depression;;;
nefarious scheme;nefarious;scheme;;;
negative approbation;negative;approbation;;;"warm approval; praise"
negligible quantity;negligible;quantity;;;
neighboring mists;neighboring;mists;;;
nerveless hand;nerveless;hand;;;
nervous solicitude;nervous;solicitude;;;
nettled opponent;nettled;opponent;;;
neutral eye;neutral;eye;;;
new perplexities;new;perplexities;;;
nice discrimination;nice;discrimination;;;
niggardly allowance;niggardly;allowance;;;
nightmare fantasy;nightmare;fantasy;;;
nimble faculty;nimble;faculty;;;
noble condescension;noble;condescension;;;
nocturnal scene;nocturnal;scene;;;
nodding approval;nodding;approval;;;
noiseless reverie;noiseless;reverie;;;
noisy platitudes;noisy;platitudes;;;
nomadic life;nomadic;life;;;
nominal allegiance;nominal;allegiance;;;
nonchalant manner;nonchalant;manner;;;
non-committal way;non-committal;way;;;
nondescript garb;nondescript;garb;;;
nonsense rhymes;nonsense;rhymes;;;
noonday splendor;noonday;splendor;;;
normal characteristics;normal;characteristics;;;
notable circumstance;notable;circumstance;;;
noteworthy friendship;noteworthy;friendship;;;
noticeably begrimed;noticeably;begrimed;;;
notoriously profligate;notoriously;profligate;;;
novel signification;novel;signification;;;
nugatory cause;nugatory;cause;;"little or no importance; trifling";
numbed stillness;numbed;stillness;;;
numberless defeats;numberless;defeats;;;
numerical majority;numerical;majority;;;
obdurate courage;obdurate;courage;;hardened in wrongdoing;
obedient compliance;obedient;compliance;;;
objectionably apologetic;objectionably;apologetic;;;
obligatory force;obligatory;force;;;
obligingly expressed;obligingly;expressed;;;
oblique tribute;oblique;tribute;;;
obscure intimation;obscure;intimation;;;
obsequious homage;obsequious;homage;;"servile compliance; fawning";
observant eye;observant;eye;;;
obsolete phraseology;obsolete;phraseology;;;
obstinate defiance;obstinate;defiance;;;
obstreperous summons;obstreperous;summons;;noisily and stubbornly defiant;
obtrusive neatness;obtrusive;neatness;;;
obvious boredom;obvious;boredom;;;
occasional flights;occasional;flights;;;
occult sympathy;occult;sympathy;;;
ocean depth;ocean;depth;;;
odd makeshifts;odd;makeshifts;;;
odious tyranny;odious;tyranny;;;
odorous spring;odorous;spring;;;
offensive hostility;offensive;hostility;;;
official asperity;official;asperity;;;"harshness; ill temper or irritability"
olfactory sense;olfactory;sense;;;
olive grayness;olive;grayness;;;
ominous rumors;ominous;rumors;;;
omnipotent decree;omnipotent;decree;;;
omniscient affirmation;omniscient;affirmation;;;
oncoming horde;oncoming;horde;;;
onerous cares;onerous;cares;;;
onflaming volume;onflaming;volume;;;
opalescent sea;opalescent;sea;;;
opaque mass;opaque;mass;;;
openly disseminated;openly;disseminated;;;
opinionated truculence;opinionated;truculence;;;ferociously cruel behavior
opportunely contrived;opportunely;contrived;;;
oppressive emptiness;oppressive;emptiness;;;
opprobrious epithet;opprobrious;epithet;;"contemptuous reproach; scornful";
oracular utterance;oracular;utterance;;"solemnly prophetic; enigmatic; obscure";
oratorical display;oratorical;display;;;
ordinary delinquencies;ordinary;delinquencies;;;
organic assimilation;organic;assimilation;;;
oriental spicery;oriental;spicery;;;
originally promulgated;originally;promulgated;;;
oscillatory movement;oscillatory;movement;;;
ostensible occupation;ostensible;occupation;;;
ostentatious display;ostentatious;display;;;
outlandish fashion;outlandish;fashion;;;
outrageously vehement;outrageously;vehement;;;
outspoken encouragement;outspoken;encouragement;;;
outstanding feature;outstanding;feature;;;
outstretching sympathies;outstretching;sympathies;;;
outward pomp;outward;pomp;;;
outworn creed;outworn;creed;;;
overbearing style;overbearing;style;;;
overestimated importance;overestimated;importance;;;
overflowing sympathy;overflowing;sympathy;;;
overhanging darkness;overhanging;darkness;;;
overmastering potency;overmastering;potency;;;
overpowering argument;overpowering;argument;;;
overshadowing dread;overshadowing;dread;;;
overstrained enthusiasm;overstrained;enthusiasm;;;
overt act;overt;act;;;
overvaulting clouds;overvaulting;clouds;;;
overweening sense;overweening;sense;;"presumptuously arrogant; overbearing";
overwhelming solicitude;overwhelming;solicitude;;;
overworked drudge;overworked;drudge;;;
pacific disposition;pacific;disposition;;;
painful obstinacy;painful;obstinacy;;;
painstaking reticence;painstaking;reticence;;;
palatable advice;palatable;advice;;;
pallidly illumined;pallidly;illumined;;;
palpable originality;palpable;originality;;;
palpitating emotion;palpitating;emotion;;;
paltry hypocrisies;paltry;hypocrisies;;;
pampered darling;pampered;darling;;;
panic fear;panic;fear;;;
panting eagerness;panting;eagerness;;;
parabolic obscureness;parabolic;obscureness;;;
paradoxical talker;paradoxical;talker;;;
paralyzing sentimentalism;paralyzing;sentimentalism;;;
paramount authority;paramount;authority;;;
parasitical magnificence;parasitical;magnificence;;;
parental permission;parental;permission;;;
paroxysmal outburst;paroxysmal;outburst;;;
particularly notable;particularly;notable;;;
partizan prejudice;partizan;prejudice;;;
passing panorama;passing;panorama;;;
passionate insistence;passionate;insistence;;;
passive obedience;passive;obedience;;;
patchwork manner;patchwork;manner;;;
patent example;patent;example;;;
paternal tenderness;paternal;tenderness;;;
pathetic helplessness;pathetic;helplessness;;;
patient endurance;patient;endurance;;;
patriarchal visage;patriarchal;visage;;;
patriotic enthusiasm;patriotic;enthusiasm;;;
peacefully propagated;peacefully;propagated;;;
peculiar piquancy;peculiar;piquancy;;;"appealingly provocative; charming"
pecuniary privation;pecuniary;privation;;;
pedantic ineptitude;pedantic;ineptitude;;attention to detail or rules;
pedestrian vigor;pedestrian;vigor;;;
peerless raconteur;peerless;raconteur;;;skilled storyteller
peevish ingratitude;peevish;ingratitude;;;
pending determination;pending;determination;;;
penetrating warmth;penetrating;warmth;;;
penitential cries;penitential;cries;;;
penniless wanderer;penniless;wanderer;;;
pensive reflections;pensive;reflections;;;
perceptible difference;perceptible;difference;;;
peremptory punishment;peremptory;punishment;;ending all debate or action;
perennial charm;perennial;charm;;;
perfect embodiment;perfect;embodiment;;;
perfunctory inquiries;perfunctory;inquiries;;;
perilous expedient;perilous;expedient;;;
permanent significance;permanent;significance;;;
pernicious doctrine;pernicious;doctrine;;;
perpetual oscillation;perpetual;oscillation;;;
perplexing problem;perplexing;problem;;;
persecuting zeal;persecuting;zeal;;;
persistent adherence;persistent;adherence;;;
personal predilection;personal;predilection;;;a preference
persuasive eloquence;persuasive;eloquence;;;
pert prig;pert;prig;;;
pertinacious solemnity;pertinacious;solemnity;;stubbornly persistent;
pertinent question;pertinent;question;;;
perusing earnestness;perusing;earnestness;;;
pervading tendencies;pervading;tendencies;;;
perverse quaintness;perverse;quaintness;;;
pessimistic skepticism;pessimistic;skepticism;;;
pestiferous career;pestiferous;career;;"evil or deadly; pernicious";
pet aversion;pet;aversion;;;
petrified smile;petrified;smile;;;
petticoat diplomacy;petticoat;diplomacy;;;
pettifogging business;pettifogging;business;;;
petty pedantries;petty;pedantries;;;attention to detail or rules
phantom show;phantom;show;;;
philanthropic zeal;philanthropic;zeal;;;
philosophical acuteness;philosophical;acuteness;;;
phlegmatic temperament;phlegmatic;temperament;;"calm, sluggish; unemotional";
phosphorescent shimmer;phosphorescent;shimmer;;;
photographic exactitude;photographic;exactitude;;;
physical convulsion;physical;convulsion;;;
pictorial embellishments;pictorial;embellishments;;;
picturesque details;picturesque;details;;;
piercing clearness;piercing;clearness;;;
pinchbeck dignity;pinchbeck;dignity;;cheap imitation;
pining melancholy;pining;melancholy;;;
pioneering spirit;pioneering;spirit;;;
pious platitudes;pious;platitudes;;;
piquant allusions;piquant;allusions;;attracting or delighting;
pitiable frenzy;pitiable;frenzy;;;
pitiless precision;pitiless;precision;;;
pivotal point;pivotal;point;;;
placid stupidity;placid;stupidity;;;
plainly expedient;plainly;expedient;;;
plainspoken rebuke;plainspoken;rebuke;;;
plaintive cadence;plaintive;cadence;;;
plastic mind;plastic;mind;;;
plausible commonplaces;plausible;commonplaces;;;
playful wit;playful;wit;;;
pleasing reveries;pleasing;reveries;;;
pleasurable excitement;pleasurable;excitement;;;
plenary argument;plenary;argument;;;
plentiful harvest;plentiful;harvest;;;
plighted word;plighted;word;;promised by a solemn pledge;
poignant clearness;poignant;clearness;;;
pointless tale;pointless;tale;;;
poisonous counsels;poisonous;counsels;;;
polished ease;polished;ease;;;
polite indifference;polite;indifference;;;
political malcontent;political;malcontent;;;
polluting taints;polluting;taints;;;
pompous platitudes;pompous;platitudes;;;
ponderous research;ponderous;research;;;
pontifical manner;pontifical;manner;;;
popular resentment;popular;resentment;;;
populous fertility;populous;fertility;;;
portentous gulf;portentous;gulf;;;
positively deteriorating;positively;deteriorating;;;
posthumous glory;posthumous;glory;;;
potential energy;potential;energy;;;
powerful stimulant;powerful;stimulant;;;
practical helpfulness;practical;helpfulness;;;
precarious path;precarious;path;;;
precautionary measure;precautionary;measure;;;
precipitous flight;precipitous;flight;;;
precise purpose;precise;purpose;;;
precocious wisdom;precocious;wisdom;;;
preconceived view;preconceived;view;;;
predatory writers;predatory;writers;;;
predestined spinster;predestined;spinster;;;
predominant habit;predominant;habit;;;
pregnant hint;pregnant;hint;;;
preliminary assumption;preliminary;assumption;;;
premature ripening;premature;ripening;;;
premonitory symptoms;premonitory;symptoms;;;
preoccupied attention;preoccupied;attention;;;
prepossessing appearance;prepossessing;appearance;;;
preposterous assertion;preposterous;assertion;;;
prescient reflection;prescient;reflection;;perceiving the significance of events before they occur;
prescribed conditions;prescribed;conditions;;;
presiding genius;presiding;genius;;;
pressing necessity;pressing;necessity;;;
pretended surprise;pretended;surprise;;;
pretentious dignity;pretentious;dignity;;;
preternatural sagacity;preternatural;sagacity;;extraordinary;"farsighted; wise"
pretty plaintiveness;pretty;plaintiveness;;;
prevailing misconception;prevailing;misconception;;;
priestly austerity;priestly;austerity;;;
primal energy;primal;energy;;;
prime factor;prime;factor;"no integer factors; irreducible; 1,2,3,5,7,11...";;
primeval silence;primeval;silence;;;
primordial conditions;primordial;conditions;;;
princely courtesy;princely;courtesy;;;
prismatic blush;prismatic;blush;;;
pristine dignity;pristine;dignity;;;
private contempt;private;contempt;;;
privileged caste;privileged;caste;;;
prized possession;prized;possession;;;
problematic age;problematic;age;;;
prodigally lavished;prodigally;lavished;;;
prodigious variety;prodigious;variety;;;
productive discipline;productive;discipline;;;
profane denunciation;profane;denunciation;;;
professedly imitated;professedly;imitated;;;
professional garrulity;professional;garrulity;;;excessive talkativeness
proffered service;proffered;service;;;
profitable adventure;profitable;adventure;;;
profligate expenditure;profligate;expenditure;;;
profound conviction;profound;conviction;;;
profuse generosity;profuse;generosity;;;
projected visit;projected;visit;;;
prolegomenous babbler;prolegomenous;babbler;;preliminary discussion;
prolific outpouring;prolific;outpouring;;;
prolix narrative;prolix;narrative;;wordy;
prolonged happiness;prolonged;happiness;;;
promiscuous multitude;promiscuous;multitude;;;
promising scions;promising;scions;;;descendants
prompt courage;prompt;courage;;;
propagandist literature;propagandist;literature;;;
propelling impulse;propelling;impulse;;;
proper punctilio;proper;punctilio;;;fine point of etiquette
prophetic vision;prophetic;vision;;;
propitious moment;propitious;moment;;auspicious, favorable;
proportionately vigilant;proportionately;vigilant;;;
proprietary sense;proprietary;sense;;;
prosaic excellence;prosaic;excellence;;dull and lacking excitement;
prospective success;prospective;success;;;
prosperity revival;prosperity;revival;;;
prostrate servility;prostrate;servility;;;
protoplasmic ancestors;protoplasmic;ancestors;;;
protracted agony;protracted;agony;;;
proud destiny;proud;destiny;;;
proverbial situation;proverbial;situation;;;
provincial prejudice;provincial;prejudice;;;
provoked hostility;provoked;hostility;;;
prudential wisdom;prudential;wisdom;;;
prurient desire;prurient;desire;;;
prying criticism;prying;criticism;;;
psychic processes;psychic;processes;;;
public derision;public;derision;;;
puerile fickleness;puerile;fickleness;;"immature; childish";
pugnacious defiance;pugnacious;defiance;;;
pulsating life;pulsating;life;;;
punctilious care;punctilious;care;;"precise; scrupulous";
pungent epigram;pungent;epigram;;;
puny dimensions;puny;dimensions;;;
purblind brutality;purblind;brutality;;"partly blind; slow to understanding";
pure coincidence;pure;coincidence;;;
purgatorial fires;purgatorial;fires;;;
puritanical primness;puritanical;primness;;;
purplish shadows;purplish;shadows;;;
purposed attempt;purposed;attempt;;;
purposeful drama;purposeful;drama;;;
pursuing fancies;pursuing;fancies;;;
pusillanimous desertion;pusillanimous;desertion;;cowardly;
pyrotechnic outburst;pyrotechnic;outburst;;;
quailing culprit;quailing;culprit;;;
quaint peculiarities;quaint;peculiarities;;;
qualifying service;qualifying;service;;;
quavering voice;quavering;voice;;;
queer tolerance;queer;tolerance;;;
quenchless despair;quenchless;despair;;;
querulous disposition;querulous;disposition;;habitually complaining;
questionable data;questionable;data;;;
questioning gaze;questioning;gaze;;;
quibbling speech;quibbling;speech;;;
quick sensibility;quick;sensibility;;;
quiescent melancholy;quiescent;melancholy;;;
quiet cynicism;quiet;cynicism;;;
quivering excitement;quivering;excitement;;;
quixotic impulse;quixotic;impulse;;;
quizzical expression;quizzical;expression;;;
quondam foe;quondam;foe;;former;
racial prejudice;racial;prejudice;;;
racy humor;racy;humor;;;
radiant happiness;radiant;happiness;;;
radical distinction;radical;distinction;;;
raging billows;raging;billows;;;
rambling looseness;rambling;looseness;;;
rampant wickedness;rampant;wickedness;;;
rancorous animosities;rancorous;animosities;;;
random preconceptions;random;preconceptions;;;
rank luxuriance;rank;luxuriance;;;
ranting optimism;ranting;optimism;;;
rapacious speculation;rapacious;speculation;;"taking by force; plundering";
rapid transitions;rapid;transitions;;;
rapturous adoration;rapturous;adoration;;;
rare endowment;rare;endowment;;;
rarefied humor;rarefied;humor;;;
rashly overrated;rashly;overrated;;;
rational discourse;rational;discourse;;;
ravenous eagerness;ravenous;eagerness;;;
ravishing spectacle;ravishing;spectacle;;;
raw composition;raw;composition;;;
reactionary movement;reactionary;movement;;;
ready sympathy;ready;sympathy;;;
realistic portrayal;realistic;portrayal;;;
reanimating ideas;reanimating;ideas;;;
reasonably probable;reasonably;probable;;;
rebellious thought;rebellious;thought;;;
reciprocal influence;reciprocal;influence;;;
reckless lavishness;reckless;lavishness;;;
recognized authority;recognized;authority;;;
recondite description;recondite;description;;"not easily understood; abstruse";
reconstructive era;reconstructive;era;;;
recovered composure;recovered;composure;;;
